_id,ltable_id,rtable_id,ltable_Name,ltable_Sale Price,ltable_Category,ltable_Author,ltable_ISBN10,ltable_Pages,ltable_Publisher,ltable_Language,ltable_Dimensions,ltable_Weight,ltable_Rating,rtable_Name,rtable_Sale Price,rtable_Category,rtable_Author,rtable_ISBN10,rtable_Pages,rtable_Publisher,rtable_Language,rtable_Dimensions,rtable_Weight,rtable_Rating
0,4,39,The Kremlin Conspiracy Hardcover ,18.29,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Joel C. Rosenberg,1496406176,,"Tyndale House Publishers, Inc. ",English,5.8 x 1.7 x 9.1 inches,1.6 pounds,4.8,The Kremlin Conspiracy,21.61,Books > Summer Reading Books > Beach Reads,Joel C. Rosenberg,1496406176,480.0,"Tyndale House Publishers, Inc.",English,9.00 x 6.00 x 1.25 Inches,,
1,8,963,Origin,16.77,Books > Literature & Fiction > Action & Adventure,Dan Brown,385514239,,Doubleday; 1st Edition edition ,English,6.3 x 1.6 x 9.6 inches,1.7 pounds,4.2,Origin,20.35,Books > Literature & Fiction > Fiction > Action & Adventure,"Brown, Dan",375434542,717.0,Random House Inc,English,9.25 x 6.25 x 1.00 Inches,,
2,8,2334,Origin,16.77,Books > Literature & Fiction > Action & Adventure,Dan Brown,385514239,,Doubleday; 1st Edition edition ,English,6.3 x 1.6 x 9.6 inches,1.7 pounds,4.2,Origin,16.5,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","Brown, Dan",385514239,461.0,Random House Inc,English,9.50 x 6.50 x 1.75 Inches,,4.0
3,9,306,We Were the Lucky Ones,8.97,Books > Literature & Fiction > Genre Fiction,Georgia Hunter,399563091,416.0,Penguin Books; Reprint edition ,English,5.4 x 0.9 x 8.2 inches,11.4 ounces,4.8,We Were the Lucky Ones ,8.97,Books > Literature & Fiction > Fiction > Historical,Georgia Hunter,399563091,416.0,Penguin BooksPenguin Publishing Group,English,8.25 x 5.50 x 1.10 Inches (US),,
4,10,373,Fahrenheit 451 Paperback ,9.99,Books > Politics & Social Sciences > Politics & Government,Ray Bradbury,1451673310,249.0,Simon & Schuster; Reissue edition ,English,5.5 x 0.9 x 8.4 inches,6.2 ounces,4.4,Fahrenheit 451,9.39,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 207 >  > in > Books > # > 17 >  > in > Books > Literature & Fiction > # > 2 >  > in > Books > Literature & Fiction > Classics,Ray Bradbury,1673311,256.0,Simon & Schuster,English,8.44 x 139.70 x 22.86 Inches (US),,4.2857
6,11,1301,"Sing, Unburied, Sing",14.79,Books > Literature & Fiction > Genre Fiction,Jesmyn Ward,1501126067,,Scribner; First Edition/First Printing edition ,English,5.5 x 1.2 x 8.4 inches,1 pounds,4.4,"Sing, Unburied, Sing ",21.24,Books > Literature & Fiction > Fiction > Literary,Jesmyn Ward,1501126067,304.0,Scribner,English,8.38 x 139.70 x 1.20 Inches (US),,
8,16,1620,Altered Carbon Takeshi Kovacs,12.98,Books > Science Fiction & Fantasy > Science Fiction,Richard K. Morgan,345457684,375.0,Del Rey; 1st edition ,English,6.1 x 0.9 x 9.2 inches,12.8 ounces,4.3,Altered Carbon,12.98,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,"Morgan, Richard K.",5457682,375.0,Random House Inc,English,9.50 x 6.00 x 0.75 Inches,,
16,18,1434,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons Mass Market Paperback ,32.49,Books > Literature & Fiction > Action & Adventure,George R. R. Martin,345535529,5216.0,Bantam; Media Tie In edition ,English,8 x 4.5 x 7 inches,5.1 pounds,4.7,A Clash of Kings,31.29,Books > Literature & Fiction > Fiction > Action & Adventure,"Martin, George R. R.",449011100,,Random House,English,6.25 x 5.75 x 2.75 Inches,,
23,18,2039,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons Mass Market Paperback ,32.49,Books > Literature & Fiction > Action & Adventure,George R. R. Martin,345535529,5216.0,Bantam; Media Tie In edition ,English,8 x 4.5 x 7 inches,5.1 pounds,4.7,A Game of Thrones,33.07,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Martin, George R. R.",307913090,,Random House,English,6.00 x 5.25 x 2.50 Inches,,5.0
30,20,1641,Artemis,16.63,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Andy Weir,553448129,,Crown; F First Edition edition ,English,6.4 x 1.1 x 9.5 inches,1.2 pounds,3.9,Artemis,16.63,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Weir, Andy",553448129,305.0,Random House Inc,English,9.50 x 6.25 x 1.25 Inches,,
32,25,512,Eleanor Oliphant Is Completely Fine,18.16,Books > Literature & Fiction > Women's Fiction,Gail Honeyman,735220689,,Pamela Dorman Books; F First Edition edition ,English,6.3 x 1.2 x 9.3 inches,1.2 pounds,4.7,Eleanor Oliphant Is Completely Fine ,18.16,Books > Literature & Fiction > Fiction > Contemporary Women,Gail Honeyman,5220685,336.0,Penguin Publishing GroupPamela Dorman Books,English,,,
33,28,2024,Everything I Never Told You Paperback ,12.8,Books > Literature & Fiction > Genre Fiction,Celeste Ng,143127551,297.0,Penguin Books; Reprint edition ,English,5.1 x 0.6 x 7.8 inches,8 ounces,4.1,Everything I Never Told You ,14.85,Books > Literature & Fiction > Fiction > Literary,"Ng, Celeste",159420571X,297.0,Penguin Group USA,English,8.75 x 6.00 x 1.00 Inches,,
35,30,571,The Rooster Bar Hardcover ,15.28,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,385541171,,Doubleday; 1st Edition edition ,English,6.4 x 1.2 x 9.5 inches,1.4 pounds,3.7,The Rooster Bar (Hardcover),15.28,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",John Grisham,385541171,368.0,Bantam Dell,English,9.25 x 6.12 x 1.06 Inches,,
36,32,424,Lord of the Flies Mass Market Paperback ,8.89,Books > Literature & Fiction > Genre Fiction,William Golding,399501487,224.0,Penguin Books; Reissue edition ,English,4.2 x 0.6 x 7.6 inches,4 ounces,4.2,Lord of the Flies,8.89,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 547 >  > in > Books > # > 6 >  > in > Books > Miscellaneous,William Golding,9501483,224.0,Penguin BooksPenguin Publishing Group,English,,,3.0
37,34,112,The Wife Between Us,16.19,Books > Literature & Fiction > Women's Fiction,Greer Hendricks Sarah Pekkanen,1250130921,,St. Martin's Press ,English,6.4 x 1.3 x 9.6 inches,1.2 pounds,4.2,The Wife Between Us,21.28,Books > Women's History Month Books > Women's History Month Fiction,Sarah Pekkanen Greer Hendricks,1250130921,352.0,St. Martin's Press,English,9.25 x 155.57 x 33.27 Inches (US),,5.0
38,35,1118,To Kill a Mockingbird Paperback ,8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336.0,Harper Perennial Modern Classics ,English,5.2 x 1 x 8.2 inches,9 ounces,4.7,To Kill a Mockingbird,7.56,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 45 >  > in > Books > # > 7 >  > in > Books > Literature & Fiction > # > 1 >  > in > Books > Literature & Fiction > African-American,"LEE, HARPER",631078X,384.0,Grand Central Pub,English,6.50 x 4.00 x 1.00 Inches,,4.7
39,35,1625,To Kill a Mockingbird Paperback ,8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336.0,Harper Perennial Modern Classics ,English,5.2 x 1 x 8.2 inches,9 ounces,4.7,TO KILL A MOCKINGBIRD,8.99,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 1559 >  > in > Books > # > 101 >  > in > Books > Literature & Fiction > # > 7 >  > in > Books > Literature & Fiction > Classics,"LEE, HARPER",935464,336.0,Harpercollins,English,5.25 x 8.25 x 1.00 Inches,,5.0
41,35,2355,To Kill a Mockingbird Paperback ,8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336.0,Harper Perennial Modern Classics ,English,5.2 x 1 x 8.2 inches,9 ounces,4.7,TO KILL A MOCKINGBIRD,8.99,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 3061 >  > in > Books > # > 232 >  > in > Books > Literature & Fiction > # > 18 >  > in > Books > Literature & Fiction > Literary,"LEE, HARPER",1120082,336.0,HarperCollins,English,8.00 x 5.50 x 1.00 Inches,,3.0
43,38,1846,The Handmaid's Tale Paperback ,9.59,Books > Literature & Fiction > Genre Fiction,Margaret Atwood,038549081X,311.0,Anchor; 1st Anchor Books edition ,English,5.2 x 0.7 x 8 inches,4.8 ounces,4.1,The Handmaid's Tale,8.77,Books > Literature & Fiction > Fiction > Dystopian,"ATWOOD, MARGARET",052543500X,336.0,Random House Inc,,5.00 x 8.00 x 0.75 Inches,,
44,38,2066,The Handmaid's Tale Paperback ,9.59,Books > Literature & Fiction > Genre Fiction,Margaret Atwood,038549081X,311.0,Anchor; 1st Anchor Books edition ,English,5.2 x 0.7 x 8 inches,4.8 ounces,4.1,HANDMAID'S TALE,9.59,Books > Walmart Best Sellers > Best seller ranking: > # > 5401 >  > in > Books > # > 447 >  > in > Books > Literature & Fiction > # > 31 >  > in > Books > Literature & Fiction > Literary,"ATWOOD, MARGARET",038549081X,336.0,Random House Inc,English,8.00 x 5.25 x 0.75 Inches,,4.5
46,39,823,The Great Gatsby Paperback ,10.49,Books > Literature & Fiction > Classics,F. Scott Fitzgerald,743273567,180.0,Scribner ,English,5.2 x 0.4 x 8 inches,5.6 ounces,4.3,GREAT GATSBY,10.48,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 196 >  > in > Books > # > 16 >  > in > Books > Literature & Fiction > # > 1 >  > in > Books > Literature & Fiction > Classics,F. Scott Fitzgerald,3273562,192.0,Scribner,English,203.20 x 5.25 x 0.40 Millimeters,,4.8333
47,40,737,Still Me,17.7,Books > Literature & Fiction > Genre Fiction,Jojo Moyes,399562451,,Pamela Dorman Books ,English,6.4 x 1.3 x 9.3 inches,1.4 pounds,4.7,Still Me,16.2,Books > Literature & Fiction > Fiction > Contemporary Women,Jojo Moyes,399562451,400.0,Penguin Publishing GroupPamela Dorman Books,English,9.00 x 6.00 x 1.00 Inches (US),,
50,42,1343,Red Sparrow,8.3,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501168916,576.0,Pocket Books; Media Tie-In edition ,English,4.1 x 1.3 x 7.5 inches,10.9 ounces,4.4,RED SPARROW (MTI),8.58,Books > Literature & Fiction > Fiction > Media Tie-Ins,Jason Matthews,1501168916,576.0,Pocket Books,English,190.50 x 104.78 x 1.20 Millimeters,,
55,45,1497,The Hobbit and the Lord of the Rings the Hobbit / the Fellowship of the Ring / the Two Towers / the Mass Market Paperback ,22.99,Books > Literature & Fiction > Genre Fiction,J.R.R. Tolkien,345538374,1728.0,Del Rey ,English,4.2 x 4.3 x 7 inches,2 pounds,4.7,The Hobbit and The Lord of the Rings,27.47,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 574 >  > in > Books > # > 42 >  > in > Books > Literature & Fiction > # > 7 >  > in > Books > Literature & Fiction > Fantasy,J.R.R. Tolkien,4445786,1504.0,Houghton Mifflin Harcourt,English,5.88 x 107.95 x 3.76 Inches (US),,4.0
56,46,2119,High Voltage Fever,18.3,Books > Science Fiction & Fantasy > Fantasy,Karen Marie Moning,399593667,,Delacorte Press ,English,6.2 x 1.5 x 9.5 inches,1.6 pounds,4.7,High Voltage,22.56,Books > Literature & Fiction > Fiction > Romance > Fantasy,"Moning, Karen Marie",399593667,477.0,Random House Inc,English,9.75 x 6.50 x 1.50 Inches,,
